model,variable,scenario,available
AS-RCEC_TaiESM1_r1i1p1f1,t,historical,1
AS-RCEC_TaiESM1_r1i1p1f1,t,ssp119,0
AS-RCEC_TaiESM1_r1i1p1f1,t,ssp126,0
AS-RCEC_TaiESM1_r1i1p1f1,t,ssp245,0
AS-RCEC_TaiESM1_r1i1p1f1,t,ssp370,0
AS-RCEC_TaiESM1_r1i1p1f1,t,ssp585,1
AS-RCEC_TaiESM1_r1i1p1f1,tn,historical,0
AS-RCEC_TaiESM1_r1i1p1f1,tn,ssp119,0
AS-RCEC_TaiESM1_r1i1p1f1,tn,ssp126,0
AS-RCEC_TaiESM1_r1i1p1f1,tn,ssp245,0
AS-RCEC_TaiESM1_r1i1p1f1,tn,ssp370,0
AS-RCEC_TaiESM1_r1i1p1f1,tn,ssp585,0
AS-RCEC_TaiESM1_r1i1p1f1,tx,historical,0
AS-RCEC_TaiESM1_r1i1p1f1,tx,ssp119,0
AS-RCEC_TaiESM1_r1i1p1f1,tx,ssp126,0
AS-RCEC_TaiESM1_r1i1p1f1,tx,ssp245,0
AS-RCEC_TaiESM1_r1i1p1f1,tx,ssp370,0
AS-RCEC_TaiESM1_r1i1p1f1,tx,ssp585,0
AS-RCEC_TaiESM1_r1i1p1f1,dtr,historical,0
AS-RCEC_TaiESM1_r1i1p1f1,dtr,ssp119,0
AS-RCEC_TaiESM1_r1i1p1f1,dtr,ssp126,0
AS-RCEC_TaiESM1_r1i1p1f1,dtr,ssp245,0
AS-RCEC_TaiESM1_r1i1p1f1,dtr,ssp370,0
AS-RCEC_TaiESM1_r1i1p1f1,dtr,ssp585,0
AS-RCEC_TaiESM1_r1i1p1f1,hd,historical,0
AS-RCEC_TaiESM1_r1i1p1f1,hd,ssp119,0
AS-RCEC_TaiESM1_r1i1p1f1,hd,ssp126,0
AS-RCEC_TaiESM1_r1i1p1f1,hd,ssp245,0
AS-RCEC_TaiESM1_r1i1p1f1,hd,ssp370,0
AS-RCEC_TaiESM1_r1i1p1f1,hd,ssp585,0
AS-RCEC_TaiESM1_r1i1p1f1,cd,historical,0
AS-RCEC_TaiESM1_r1i1p1f1,cd,ssp119,0
AS-RCEC_TaiESM1_r1i1p1f1,cd,ssp126,0
AS-RCEC_TaiESM1_r1i1p1f1,cd,ssp245,0
AS-RCEC_TaiESM1_r1i1p1f1,cd,ssp370,0
AS-RCEC_TaiESM1_r1i1p1f1,cd,ssp585,0
AS-RCEC_TaiESM1_r1i1p1f1,r,historical,1
AS-RCEC_TaiESM1_r1i1p1f1,r,ssp119,0
AS-RCEC_TaiESM1_r1i1p1f1,r,ssp126,0
AS-RCEC_TaiESM1_r1i1p1f1,r,ssp245,0
AS-RCEC_TaiESM1_r1i1p1f1,r,ssp370,0
AS-RCEC_TaiESM1_r1i1p1f1,r,ssp585,1
AS-RCEC_TaiESM1_r1i1p1f1,spei6,historical,0
AS-RCEC_TaiESM1_r1i1p1f1,spei6,ssp119,0
AS-RCEC_TaiESM1_r1i1p1f1,spei6,ssp126,0
AS-RCEC_TaiESM1_r1i1p1f1,spei6,ssp245,0
AS-RCEC_TaiESM1_r1i1p1f1,spei6,ssp370,0
AS-RCEC_TaiESM1_r1i1p1f1,spei6,ssp585,0
AS-RCEC_TaiESM1_r1i1p1f1,pet,historical,0
AS-RCEC_TaiESM1_r1i1p1f1,pet,ssp119,0
AS-RCEC_TaiESM1_r1i1p1f1,pet,ssp126,0
AS-RCEC_TaiESM1_r1i1p1f1,pet,ssp245,0
AS-RCEC_TaiESM1_r1i1p1f1,pet,ssp370,0
AS-RCEC_TaiESM1_r1i1p1f1,pet,ssp585,0
AS-RCEC_TaiESM1_r1i1p1f1,huss,historical,1
AS-RCEC_TaiESM1_r1i1p1f1,huss,ssp119,0
AS-RCEC_TaiESM1_r1i1p1f1,huss,ssp126,1
AS-RCEC_TaiESM1_r1i1p1f1,huss,ssp245,1
AS-RCEC_TaiESM1_r1i1p1f1,huss,ssp370,1
AS-RCEC_TaiESM1_r1i1p1f1,huss,ssp585,1
AS-RCEC_TaiESM1_r1i1p1f1,evspsbl,historical,1
AS-RCEC_TaiESM1_r1i1p1f1,evspsbl,ssp119,0
AS-RCEC_TaiESM1_r1i1p1f1,evspsbl,ssp126,1
AS-RCEC_TaiESM1_r1i1p1f1,evspsbl,ssp245,1
AS-RCEC_TaiESM1_r1i1p1f1,evspsbl,ssp370,1
AS-RCEC_TaiESM1_r1i1p1f1,evspsbl,ssp585,1
AS-RCEC_TaiESM1_r1i1p1f1,mrsos,historical,1
AS-RCEC_TaiESM1_r1i1p1f1,mrsos,ssp119,0
AS-RCEC_TaiESM1_r1i1p1f1,mrsos,ssp126,1
AS-RCEC_TaiESM1_r1i1p1f1,mrsos,ssp245,1
AS-RCEC_TaiESM1_r1i1p1f1,mrsos,ssp370,1
AS-RCEC_TaiESM1_r1i1p1f1,mrsos,ssp585,1
AS-RCEC_TaiESM1_r1i1p1f1,mrro,historical,1
AS-RCEC_TaiESM1_r1i1p1f1,mrro,ssp119,0
AS-RCEC_TaiESM1_r1i1p1f1,mrro,ssp126,1
AS-RCEC_TaiESM1_r1i1p1f1,mrro,ssp245,1
AS-RCEC_TaiESM1_r1i1p1f1,mrro,ssp370,1
AS-RCEC_TaiESM1_r1i1p1f1,mrro,ssp585,1
AS-RCEC_TaiESM1_r1i1p1f1,prsn,historical,1
AS-RCEC_TaiESM1_r1i1p1f1,prsn,ssp119,0
AS-RCEC_TaiESM1_r1i1p1f1,prsn,ssp126,1
AS-RCEC_TaiESM1_r1i1p1f1,prsn,ssp245,1
AS-RCEC_TaiESM1_r1i1p1f1,prsn,ssp370,1
AS-RCEC_TaiESM1_r1i1p1f1,prsn,ssp585,1
AS-RCEC_TaiESM1_r1i1p1f1,siconc,historical,1
AS-RCEC_TaiESM1_r1i1p1f1,siconc,ssp119,0
AS-RCEC_TaiESM1_r1i1p1f1,siconc,ssp126,1
AS-RCEC_TaiESM1_r1i1p1f1,siconc,ssp245,1
AS-RCEC_TaiESM1_r1i1p1f1,siconc,ssp370,1
AS-RCEC_TaiESM1_r1i1p1f1,siconc,ssp585,0
AS-RCEC_TaiESM1_r1i1p1f1,sfcwind,historical,1
AS-RCEC_TaiESM1_r1i1p1f1,sfcwind,ssp119,0
AS-RCEC_TaiESM1_r1i1p1f1,sfcwind,ssp126,1
