"ACCESS1.0","CSIRO-BOM"
"ACCESS1.3","CSIRO-BOM"
"BCC-CSM1.1","BCC"
"BCC-CSM1.1(m)","BCC"
"BNU-ESM","BNU"
"CanESM2","CCCMA"
"CCSM4","NCAR"
"CESM1(BGC)","NSF-DOE-NCAR"
"CMCC-CM","CMCC"
"CMCC-CMS","CMCC"
"CNRM-CM5","CNRM-CERFACS"
"CSIRO-Mk3.6.0","CSIRO-QCCCE"
"EC-EARTH","ICHEC"
"FGOALS-g2","LASG-CESS"
"GFDL-CM3","NOAA-GFDL"
"GFDL-ESM2G","NOAA-GFDL"
"GFDL-ESM2M","NOAA-GFDL"
"HadGEM2-CC","MOHC"
"HadGEM2-ES","MOHC"
"INM-CM4","INM"
"IPSL-CM5A-LR","IPSL"
"IPSL-CM5A-MR","IPSL"
"IPSL-CM5B-LR","IPSL"
"MIROC5","MIROC"
"MIROC-ESM-CHEM","MIROC"
"MIROC-ESM","MIROC"
"MPI-ESM-LR","MPI-M"
"MPI-ESM-MR","MPI-M"
"MRI-CGCM3","MRI"
"NorESM1-M","NCC"
